188.8 155.566307693	141.745480105	172.130136192
188.6 155.490675221	141.667255724	172.069109255
188.4 155.415251757	141.588987827	172.008008382
188.2 155.339687664	141.510685755	171.947222247
188 155.263890654	141.432637207	171.886398077
187.8 155.18806141	141.354358624	171.825188649
187.6 155.112015372	141.275785243	171.763900185
187.4 155.03581976	141.197082972	171.702503353
187.2 154.959749857	141.118294674	171.640999734
187 154.883823343	141.039340168	171.579421818
186.8 154.807713427	140.960407153	171.517909038
186.6 154.731406391	140.881698139	171.456307049
186.4 154.654998183	140.802968135	171.394379723
186.2 154.578418255	140.724205613	171.332130626
186 154.501429558	140.645390511	171.269784406
185.8 154.424658317	140.566484523	171.207475057
185.6 154.347823307	140.487288727	171.145082891
185.4 154.270931003	140.408105304	171.08261224
185.2 154.193977189	140.328855342	171.020086368
185 154.116941094	140.249493212	170.957794052
184.8 154.039880705	140.169901174	170.895222278
184.6 153.962712824	140.090191495	170.832529053
184.4 153.88561567	140.010443879	170.769744906
184.2 153.80845409	139.93104139	170.70687443
184 153.731138319	139.851500437	170.643896282
183.8 153.653529924	139.771813139	170.580791414
183.6 153.575711065	139.692001629	170.517653761
183.4 153.497815412	139.612075805	170.454298853
183.2 153.420146057	139.532060346	170.390717405
183 153.342231169	139.45219687	170.327043623
182.8 153.264479735	139.372312993	170.263468689
182.6 153.186540109	139.292379936	170.199690515
182.4 153.108456498	139.212412753	170.135686273
182.2 153.030265572	139.132343989	170.071512908
182 152.952240493	139.052023679	170.007307142
181.8 152.87417634	138.971524214	169.94346811
181.6 152.795729613	138.891302492	169.879606378
181.4 152.717141831	138.81100001	169.81561473
181.2 152.63846358	138.730588895	169.751446199
181 152.559554517	138.65006265	169.687061071
180.8 152.480782227	138.569363373	169.622506213
180.6 152.402234578	138.488542511	169.557909709
180.4 152.323533672	138.407845179	169.493114151
180.2 152.244608289	138.327081734	169.428062841
180 152.16536966	138.246217817	169.362916514
179.8 152.086142832	138.165109438	169.297778258
179.6 152.006765407	138.083877873	169.232498443
179.4 151.927697475	138.002603255	169.167046452
179.2 151.848617262	137.921780312	169.10145424
179 151.769408673	137.840794623	169.035816342
178.8 151.689911288	137.759627641	168.9703657
178.6 151.610147399	137.678339815	168.905094576
178.4 151.530298671	137.596948087	168.839697877
178.2 151.450607437	137.515469374	168.774132007
178 151.370786861	137.434141956	168.708359689
177.8 151.290954879	137.352518742	168.642393178
177.6 151.210936797	137.270845544	168.576365048
177.4 151.130777747	137.18914237	168.510161341
177.2 151.050511865	137.107376224	168.443729821
177 150.970303182	137.025461107	168.377160221
176.8 150.890333892	136.943460018	168.310617346
176.6 150.809980941	136.861592099	168.24392947
176.4 150.729481673	136.779708875	168.177066606
176.2 150.648884189	136.697810489	168.110058379
176 150.568047345	136.615880758	168.042994022
175.8 150.487352195	136.53379212	167.975967478
175.6 150.406942408	136.451556048	167.909082316
175.4 150.326380247	136.369214636	167.842091102
175.2 150.245605922	136.286760301	167.774984598
175 150.164524734	136.204217523	167.70769912
174.8 150.083395445	136.121559328	167.64035176
174.6 150.001999255	136.038821349	167.572917533
174.4 149.920841349	135.956359521	167.505321703
174.2 149.839634851	135.87410523	167.437556073
174 149.758278146	135.79168199	167.36962153
173.8 149.676728418	135.708857414	167.301689783
173.6 149.595031124	135.626002288	167.233529216
173.4 149.51327302	135.543103232	167.165122354
173.2 149.431816169	135.460292067	167.096512592
173 149.350184843	135.377598435	167.027804196
172.8 149.268484292	135.294545156	166.959492315
172.6 149.186600322	135.211264318	166.891175361
172.4 149.104573125	135.127855581	166.822732049
172.2 149.022436881	135.044349846	166.754165882
172 148.940484237	134.960991181	166.685421258
171.8 148.858478835	134.877683182	166.616589242
171.6 148.776239354	134.794375384	166.547726989
171.4 148.693891084	134.711048966	166.478651757
171.2 148.611437386	134.627695179	166.409274703
171 148.528759688	134.544315338	166.339651257
170.8 148.446251297	134.460846595	166.270282
170.6 148.363836	134.377183865	166.200707429
170.4 148.28130075	134.293345752	166.130962479
170.2 148.198623407	134.209387189	166.061094571
170 148.115794957	134.125326782	165.991226966
169.8 148.032896555	134.040932971	165.921587538
169.6 147.949779843	133.956854934	165.851811386
169.4 147.866580336	133.87303672	165.781909317
169.2 147.783282954	133.789116847	165.711826444
169 147.699853092	133.705079436	165.64144218
168.8 147.616350061	133.620788789	165.570953417
168.6 147.532788288	133.536480037	165.500378907
168.4 147.449505631	133.452294556	165.429832028
168.2 147.366318386	133.368173042	165.359160167
168 147.28288272	133.283958063	165.288393646
167.8 147.199369318	133.199328109	165.217577773
167.6 147.115549535	133.114503169	165.146464497
