LATITUDE MIN,LATITUDE MAX,LONGITUDE MIN,LONGITUDE MAX,AGE ESTIMATE (Ma),AGE ESTIMATE UNCERTAINTY (Ma),NUMERICAL (0) OR LABEL (1) FLAG
-72.686549,-72.686549,165.608717,165.608717,1.29,1.29,1.0
-72.7013926115,-72.7013926115,165.558153,165.558153,1.29,1.29,1.0
-72.745404,-72.745404,165.496504,165.496504,1.29,1.29,1.0
-72.690222,-72.690222,165.562379,165.562379,1.29,1.29,1.0
-72.6743600518,-72.6743600518,165.49192,165.49192,1.29,1.29,1.0
-72.7008589357,-72.7008589357,165.556823,165.556823,1.29,1.29,1.0
-72.6330119558,-72.6330119558,165.622456,165.622456,1.29,1.29,1.0
-72.6773629524,-72.6773629524,165.639763,165.639763,1.29,1.29,1.0
-72.6769909635,-72.6769909635,165.641865,165.641865,1.29,1.29,1.0
-72.73407,-72.73407,165.44599,165.44599,1.29,1.29,1.0
-72.6743600518,-72.6743600518,165.49192,165.49192,1.29,1.29,1.0
-72.6745889615,-72.6745889615,165.491353,165.491353,1.29,1.29,1.0
-72.708186,-72.708186,165.56885,165.56885,1.29,1.29,1.0
-72.73407,-72.73407,165.44599,165.44599,1.29,1.29,1.0
-72.6330119558,-72.6330119558,165.622456,165.622456,1.29,1.29,1.0
-72.6876033749,-72.6876033749,165.606627,165.606627,1.29,1.29,1.0
-72.686561,-72.686561,165.608711,165.608711,1.29,1.29,1.0
-72.758526,-72.758526,165.450268,165.450268,1.29,1.29,1.0
-72.758615,-72.758615,165.450791,165.450791,1.29,1.29,1.0
-72.700733,-72.700733,165.556922,165.556922,1.29,1.29,1.0
-72.6878371462,-72.6878371462,165.606623,165.606623,1.29,1.29,1.0
-72.6566692069,-72.6566692069,165.568003,165.568003,1.29,1.29,1.0
-72.727103,-72.727103,165.539127,165.539127,1.29,1.29,1.0
-72.727103,-72.727103,165.539127,165.539127,1.29,1.29,1.0
-72.6770833321,-72.6770833321,165.6392,165.6392,1.29,1.29,1.0
-72.727296,-72.727296,165.538508,165.538508,1.29,1.29,1.0
-72.727103,-72.727103,165.539127,165.539127,1.29,1.29,1.0
-72.6772421692,-72.6772421692,165.639498,165.639498,1.29,1.29,1.0
-72.6769909635,-72.6769909635,165.641865,165.641865,1.29,1.29,1.0
-72.689876,-72.689876,165.564903,165.564903,1.29,1.29,1.0
-72.6773207076,-72.6773207076,165.640141,165.640141,1.29,1.29,1.0
-72.640890358,-72.640890358,165.497904,165.497904,1.29,1.29,1.0
