Author,Sample,Larger_Region,Region,Province,TAS_Description,Alkalinity,Age,Uncertainty,Method,Latitude,Longitude,SiO2,TiO2,Al2O3,FeO,CaO,MgO,MnO,K2O,Na2O,P2O5,H2O,LOI,Li,Sc,Ti,V ,Cr,Co,Ni,Cu,Zn,Ga,Rb,Sr,Y ,Zr,Nb,Sn,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Tl,Pb,Th,U ,87Sr/86Sr,143Nd/144Nd,206Pb/204Pb,207Pb/206Pb,208Pb/204Pb
Aviado_2015,04DRE3-59,Australiasia_Antarctica,Antarctica,Ross_Island,Basanite,Alkaline,3,3,Stratigraphic,-75.9754,168.2267,41.14,2.44,12.33,9.61,14.24,10.54,0.19,1.22,3.51,0.76,,,,,,251,413,,,,,,33,776,30,225,92,,,657,65,111,12.4,50,9.8,3,9,1.1,6,1,2.7,,,0.3,5.2,7,,2.5,11,2.3,,,,,
Aviado_2015,04DRE3-73,Australiasia_Antarctica,Antarctica,Ross_Island,Foidite,Alkaline,0.09,0.066,Ar-Ar,-75.9754,168.2267,40.41,2.63,12.01,11.18,13.31,11.06,0.23,1.69,3.69,1.19,,,,,,210,348,,,,,,50,1005,36,273,116,,,869,91,152,16.3,64,12.4,3.7,12,1.4,7,1.2,3.2,,,0.4,6.1,8.4,,3.4,13.7,2.9,0.70319,0.51301,19.532,15.583,39.007
Aviado_2015,04DRE4-75,Australiasia_Antarctica,Antarctica,Ross_Island,Basanite,Alkaline,1.93,0.04,Ar-Ar,-75.9754,168.2267,41.11,3.22,12.47,12.67,11.37,8.65,0.24,0.97,4.29,1.17,,,,,,208,276,,,,,,15,1132,40,396,123,,,664,96,169,18.4,73,14,4.1,13,1.6,7.9,1.4,3.5,,,0.5,9.1,9.4,,3.2,13.2,2.9,0.70338,0.51294,19.776,15.61,39.328
Aviado_2015,04DRE4-76,Australiasia_Antarctica,Antarctica,Ross_Island,Basanite,Alkaline,1.92,0.04,Ar-Ar,-76.9825,167.489,43.66,2.58,12.07,11.15,11.76,13.7,0.18,0.88,2.2,0.45,,,,,,232,614,,,,,,24,514,24,185,47,,,326,33,64,7.5,32,6.6,2.1,6,0.9,4.6,0.8,2.2,,,0.3,4.4,3.5,,1.4,4.1,1,0.7032,0.51293,19.463,15.634,39.214
Aviado_2015,04DRE5-80,Australiasia_Antarctica,Antarctica,Ross_Island,Basanite,Alkaline,3.94,0.08,Ar-Ar,-76.5785,166.7026,42.19,4,13.17,13.15,9.27,8.33,0.21,1.73,3.31,0.87,,,,,,196,96,,,,,,45,874,39,442,87,,,479,63,119,14.1,59,12.7,3.9,12,1.5,7.8,1.3,3.3,,,0.4,10.2,6.8,,2,7.8,1.9,0.70313,0.51292,19.834,15.595,39.382
Aviado_2015,04DRE5-81,Australiasia_Antarctica,Antarctica,Ross_Island,Basanite,Alkaline,3,3,Stratigraphic,-76.5785,166.7026,41.56,4.05,11.95,12.8,9.88,10.82,0.18,1.48,2.78,0.88,,,,,,205,284,,,,,,37,798,32,364,75,,,415,54,102,12.1,52,11.2,3.4,10,1.3,6.7,1.1,2.7,,,0.3,8.4,5.9,,1.9,7,1.5,0.70333,0.51294,,,
Aviado_2015,05DRE5-85,Australiasia_Antarctica,Antarctica,Ross_Island,Basanite,Alkaline,3.73,0.14,Ar-Ar,-76.5785,166.7026,42.57,3.34,11.54,12.49,9.94,12.73,0.17,1.29,2.17,0.67,,,,,,194,405,,,,,,29,705,26,267,59,,,363,44,82,9.7,40,8.3,2.6,8,1,5.2,0.9,2.3,,,0.3,5.9,4.4,,1.5,5.2,1.2,,,,,
Aviado_2015,04DRE5-89,Australiasia_Antarctica,Antarctica,Ross_Island,Basanite,Alkaline,3,3,Stratigraphic,-76.5785,166.7026,41.73,3.62,12.19,12.77,9.12,10.72,0.19,1.39,2.92,0.77,,,,,,196,292,,,,,,32,823,31,336,77,,,457,56,106,12.2,51,10.5,3.2,10,1.2,6,1,2.6,,,0.3,7.6,5.8,,1.9,7.1,1.6,,,,,
Aviado_2015,04DRE6-107,Australiasia_Antarctica,Antarctica,Ross_Island,Foidite,Alkaline,0.51,0.024,Ar-Ar,-75.9682,168.6177,40.24,3.39,13.09,13.13,11.54,4.9,0.26,2.71,4.42,1.42,,,,,,183,18,,,,,,78,1264,48,380,152,,,1173,118,198,21.6,86,16.9,5,15,1.8,9.2,1.6,4,,,0.6,8.5,10.9,,4.5,15.2,3.6,0.70352,0.513,19.432,15.521,38.92
Panter_2000,TW92-059,Australiasia_Antarctica,Antarctica,Marie_Byrd,Basanite,Alkaline,9.34,0.24,Ar-Ar,-76.68,-118,44.27,3.05,16.79,14.05,11.73,6.09,0.2,0.66,2.87,0.3,,0.93,,27.8,,370,3,,49,69,88,20,13,609,22,124,29,,0.13,182,22.56,47.8,,23.4,4.97,1.71,,0.78,,,,,1.72,0.22,3.39,1.92,,0.84,2.31,0.42,0.702761,0.512887,20.766,15.751,40.052
