Lon Lat HF(mW/m2) Age(Ma) Seds(m)
-142.75 58.083 75.6948 33.3423134422 1317.94
-143.167 58.033 152.454 34.0908638336 1227.09
-42.8 58.0333 91.9811 50.6829747887 1386.86
-44.983 57.883 68.5311 51.2004902145 2047.9
169.5017 57.925 88.4808 34.9941361226 1110.67
-144.183 57.8 102.827 35.8620463181 1017.22
-140.1333 57.7 62.6956 29.4090608253 1983.6
-26.77 57.4883 75.1173 32.8547320625 999.347
-29.425 57.4367 31.5937 17.1743730807 875.428
168.305 57.345 105.093 22.7807990122 1064.75
-46.767 57.2 65.2027 37.4733865356 1008.15
-42.167 57.25 41.0121 42.6752795792 813.588
-139.2 56.9667 107.362 27.3654803619 1978.16
-138.15 57 84.0767 26.3887081146 1950.6
-44.8833 56.9333 70.0613 42.0634005159 717.277
-38.5667 56.7833 87.2115 19.3675497089 409.268
-28.485 56.65 86.0481 33.0176383972 1034.6
167.3367 56.44 145.743 13.4940651201 1381.27
-44.7 56.1833 73.1247 49.9855097466 1015.44
-44.633 56.183 73.0755 49.8635814632 1002.8
-44.55 56.0667 65.6256 50.278925211 997.199
-38.733 56.1 30.2964 18.9218018341 471.431
-29.8383 56.075 98.9092 31.5895165038 1005.2
-29.61415 56.0725 99.2374 33.1326334551 999.952
-29.415 56.0683 80.3401 34.6105390091 1000
-29.875 55.9933 96.6759 31.5915578876 993.178
-29.745 55.9833 77.2863 32.5416620331 998.812
-29.6075 56.00665 102.957 33.4550613894 999.733
-29.495 55.965 80.3593 34.3846702194 1000
-29.4283 55.975 82.4622 34.8447692719 1000
-29.125 55.985 76.9738 37.0842156887 1005.5
-29.0017 56.0433 89.7749 37.8365501171 1010.98
-23.2317 56.0433 63.6817 57.229376642 503.003
-29.5917 55.8917 83.6166 33.8964260479 999.93
-136.583 55.733 116.615 19.41839585 1981.01
-39.683 55.717 39.6307 24.1767272602 511.762
167.6633 55.6333 156.567 17.1235103046 1138.58
-43.8833 55.0167 66.9603 48.0416849381 777.02
-134.6833 54.45 211.876 15.3036363149 1986.4
-141.267 54.267 97.1176 25.1366178499 805.958
-135.45 54.2167 134.017 15.4942454906 1641.48
-45.9667 54.2 70.68 54.2270292702 974.546
-44.2667 53.6333 73.0559 49.8549697266 998.162
-163.3333 53.3833 17.5578 52.1968692999 578.185
-173.31335 53.0867 385.254 64.3540523796 3040.84
176.383 53.017 90.4137 61.7566227959 2602.53
-178.71 52.79 49.7566 63.9030983353 2415.47
-40.033 52.82 87.2257 30.712422863 517.869
-39.917 52.817 60.2481 29.473811755 511.956
-39.083 52.8 112.748 21.391480751 493.19
-38.925 52.7917 103.377 20.3259780698 483.304
-36.583 52.783 162.615 7.61872241139 416.264
-33.763 52.6967 301.629 6.03621681953 538.144
-175.15 52.55 49.1087 64.0274991989 3062.88
-132.27 52.5783 85.2838 7.12008696947 1563.33
-132.1633 52.6133 83.8374 7.11911920593 1550.26
-176.8833 52.5367 226.922 64.2193131934 2975.91
-132.3117 52.5417 87.7992 7.02931972113 1551.51
-131.935 52.405 98.5281 5.74583943963 1434.64
-165.583 52.35 79.7323 55.061462307 404.7
-132.0933 52.2683 176.976 5.72530094573 1403.54
-131.9867 52.34 107.936 5.50964189587 1428.49
-178.05 52.25 206.509 63.9275007248 1134
-132.14085 52.22 337.044 5.91319797525 1366.48
-132.0283 52.1567 313.61 5.40323757759 1348.76
-131.7733 52.1583 104.273 4.37300921331 1343.81
-131.7233 52.1733 86.0196 4.29910468671 1331.67
-45.45 52.1 148.744 56.1415615082 1387.04
-131.53 51.965 137.34 3.14783614397 1194.42
-131.5467 51.95 168.675 3.21165952754 1198.64
-131.2533 51.8 131.332 1.85649735332 969.376
-134.385 51.3983 23.1816 13.0904729481 468.487
-134.2833 51.4083 88.7023 12.8568722999 483.295
-134.2308 51.3967 76.0819 12.7221541268 486.793
-134.1325 51.395 26.9987 12.4698492289 498.94
-134.2367 51.3067 43.1985 12.7346365237 461.565
-134.23915 51.215 47.8082 12.7464262044 437.847
-171.55 50.917 94.9375 61.6035957336 612.401
-172.633 50.8 8.28791 61.9681705093 690.287
-129.5283 50.4767 101.478 1.70011183075 880.689
-129.445 50.53 77.0561 1.94006428719 963.601
-129.105 50.335 103.543 2.30035157597 998.493
-129.38 50.175 109.09 1.74470606446 660.304
-18.55 49.9667 61.2917 61.4013854942 739.832
-128.6283 49.9283 47.2461 3.14736770565 942.571
-128.3017 49.89 89.3756 3.6910532639 1077.11
-128.79335 49.7958 153.685 2.81585684559 720.13
-34.317 49.383 98.0225 41.593996949 501
-128.9467 49.195 381.54 2.54265452576 419.857
-128.8133 49.19 482.811 2.9341943862 488.943
-128.7233 49.1867 612.422 3.18088573651 544.739
-128.54 49.18 315.905 3.53172677994 690.592
-128.4333 49.18 234.309 3.70276951413 793.793
-128.25335 49.17585 275.445 4.032150867 947.704
-128.2475 49.17585 237.955 4.04474390872 952.065
-17.6333 49.15 24.6293 63.0441227474 509.278
-128.7933 49.1 273.219 2.4727011416 439.387
-128.7217 49.0833 242.988 2.58692621984 467.608
-128.55085 49.0825 204.512 3.11941939636 578.559
-128.26 49.085 177.069 3.89461930752 833.177
-128.69 49.0283 186.235 2.31687506349 432.206
-128.5433 49.0067 229.551 2.63398198342 492.196
-128.41 49.0083 160.437 3.07221535535 586.699
-128.2683 49.0167 232.646 3.57833183872 725.32
-128.395 48.915 167.641 2.40323902547 451.756
-128.28 48.89835 148.578 2.66953795218 538.291
-34.215 48.8617 90.7937 42.5628829609 505.794
-34.125 48.8583 53.6751 42.0690024805 510.354
-128.2383 48.8083 339.643 2.13332533135 483.826
-127.75 48.75 248.946 3.397742033 984
-128.2517 48.7167 227.366 1.64240642316 408.274
-127.0846 48.5563 147.366 4.58932054103 1560.86
-127.1002 48.5469 158.619 4.56974602647 1529.11
-126.9875 48.4308 197.905 4.80540814114 1645.71
-126.5624 48.26035 133.322 5.85230012962 1854.01
-126.5774 48.1692 154.267 5.90338755767 1874.26
