Data Number,Codes,Site Name,Latitude,Longitude,Elevation,minD,maxD,No. Temps,Gradient,No. Cond.,Conductivity,No.Heat Prod.,Heat Prod.,Heat Flow,No. sites,Year of Pub.,Reference,Comments,,
Indian Ocean,,V19-66,-14.1833,82.1333,-4798,0,4,2,74,5,0.77,,,57,1,1965,VonHerzen&Langseth1965,VonHerzen&Langseth1965,,Ewing probe
Indian Ocean,,LSDH-43,-14.1,101.3667,-5110,,,2,111,,0.68,,,76,1,1965,VonHerzen&Langseth1965,VonHerzen&Langseth1965,,Bullard probe
Indian Ocean,,V28-206,-14.1,120.5,-2716,3,9,3,57,5,1.11,,,64,1,1977,Anderson_etal1977,Anderson_etal1977,,Ewing probe
Indian Ocean,,MSN-32,-14.0833,72.25,-5200,,,2,77,,0.65,,,50,1,1965,VonHerzen&Langseth1965,VonHerzen&Langseth1965,,Bullard probe
Indian Ocean,,LSDA-35,-13.8,90.8333,-5200,,,2,82,,0.67,,,54,1,1965,VonHerzen&Langseth1965,VonHerzen&Langseth1965,,Bullard probe
Indian Ocean,,LSDA-38,-13.7667,115.5333,-5680,,,2,69,,0.69,,,48,1,1965,VonHerzen&Langseth1965,VonHerzen&Langseth1965,,Bullard probe
Indian Ocean,,V29-34,-13.75,77.65,-5268,5,12,4,155,6,0.7,,,107,1,1977,Anderson_etal1977,Anderson_etal1977,,Ewing probe
Indian Ocean,,LSDA-15,-13.7,59.7,-3900,,,2,50,,0.84,,,42,1,1965,VonHerzen&Langseth1965,VonHerzen&Langseth1965,,Bullard probe
Indian Ocean,,ANT-75,-13.6883,93.975,-5557,,2,,96,,0.75,,,72,1,1977,Anderson_etal1977,Anderson_etal1977,,Bullard probe
Indian Ocean,,LSDH-48,-13.6833,117.3833,-5715,,,2,58,,0.68,,,39,1,1965,VonHerzen&Langseth1965,VonHerzen&Langseth1965,,Bullard probe
Indian Ocean,,LSDH-39,-13.65,91.5167,-5150,,,2,93,,0.67,,,62,1,1965,VonHerzen&Langseth1965,VonHerzen&Langseth1965,,Bullard probe
Indian Ocean,,LSDA-39,-13.5167,118.4833,-5680,,,2,57,,0.69,,,39,1,1965,VonHerzen&Langseth1965,VonHerzen&Langseth1965,,Bullard probe
Indian Ocean,,V24-155,-13.4833,110.4333,-5354,1,7,3,67,4,0.76,,,51,1,1977,Anderson_etal1977,Anderson_etal1977,,Ewing probe
Indian Ocean,,LSDH-40,-13.3833,92.5333,-5200,,,2,185,,0.72,,,134,1,1965,VonHerzen&Langseth1965,VonHerzen&Langseth1965,,Bullard probe
Indian Ocean,,MSN-20,-13.3167,109.5667,-4630,,,2,80,,0.78,,,62,1,1965,VonHerzen&Langseth1965,VonHerzen&Langseth1965,,Bullard probe
Indian Ocean,,V29-42,-13.2833,63.3833,-3965,0,9,4,43,9,1.03,,,44,1,1977,Anderson_etal1977,Anderson_etal1977,,Ewing probe
Indian Ocean,,C17-46,-13.2033,65.6517,-3409,3,13,3,56,8,0.98,,,54,1,1977,Anderson_etal1977,Anderson_etal1977,,Ewing probe
Indian Ocean,,C17-51,-13.1617,56.6017,-4389,1,8,3,95,3,0.91,,,87,1,1977,Anderson_etal1977,Anderson_etal1977,,Ewing probe
Indian Ocean,,LSDA-36,-13.15,93.2167,-5230,,,1,183,,0.69,,,126,1,1965,VonHerzen&Langseth1965,VonHerzen&Langseth1965,,Bullard probe
Indian Ocean,,LSDH-47,-13.15,116.4833,-5670,,,2,69,,0.67,,,47,1,1965,VonHerzen&Langseth1965,VonHerzen&Langseth1965,,Bullard probe
Indian Ocean,,V19-100,-13.1333,44.15,-3548,5,9,2,65,11,0.88,,,57,1,1965,VonHerzen&Langseth1965,VonHerzen&Langseth1965,,Ewing probe
Indian Ocean,,CIR-73,-12.9667,91.9333,-5526,,2,,77,,0.7,,,54,1,1977,Anderson_etal1977,Anderson_etal1977,,Bullard probe
Indian Ocean,,Dodo-35,-12.9333,64.1833,-4120,,,,43,,0.89,,,38,1,1966,VonHerzen&Vacquier1966,VonHerzen&Vacquier1966,*,Bullard probe
Indian Ocean,,C14-24,-12.8833,103.6667,-4547,,8,,67,7,0.91,,,62,1,1977,Anderson_etal1977,Anderson_etal1977,,Ewing probe
Indian Ocean,,MSN-17,-12.8,115.4,-5400,,,2,64,,0.69,,,44,1,1965,VonHerzen&Langseth1965,VonHerzen&Langseth1965,,Bullard probe
Indian Ocean,,V19-67,-12.7333,82.0167,,0,2,1,120,5,0.7,,,85,1,1965,VonHerzen&Langseth1965,VonHerzen&Langseth1965,,Ewing probe
Indian Ocean,,C14-3,-12.4667,71.8833,-4465,,8,,157,6,0.75,,,118,1,1977,Anderson_etal1977,Anderson_etal1977,,Ewing probe
Indian Ocean,,C17-47,-12.38,61.8083,-4002,0,13,5,24,,0.98,,,23,1,1977,Anderson_etal1977,Anderson_etal1977,,Ewing probe
Indian Ocean,,C17-49,-12.3717,61.61,-3741,3,13,5,74,5,1.1,,,82,1,1977,Anderson_etal1977,Anderson_etal1977,,Ewing probe
Indian Ocean,,MSN-24,-12.35,101.4167,-4745,,,2,78,,0.83,,,65,1,1965,VonHerzen&Langseth1965,VonHerzen&Langseth1965,,Bullard probe
Indian Ocean,,V29-35,-12.3333,75.0833,-5160,5,18,4,70,8,0.7,,,49,1,1977,Anderson_etal1977,Anderson_etal1977,,Ewing probe
Indian Ocean,,V28-207,-12.3167,118.3,-5397,8,13,3,64,6,0.75,,,48,1,1977,Anderson_etal1977,Anderson_etal1977,,Ewing probe
Indian Ocean,,CIR-92,-12.15,68.7,-4192,,2,,48,,0.84,,,40,1,1977,Anderson_etal1977,Anderson_etal1977,,Bullard probe
Indian Ocean,,CIR-90,-12.1333,72.0167,-4479,,2,,40,,0.73,,,29,1,1977,Anderson_etal1977,Anderson_etal1977,,Bullard probe
Indian Ocean,,CIR-91,-12.1,70.6333,-3516,,2,,14,,0.87,,,12,1,1977,Anderson_etal1977,Anderson_etal1977,,Bullard probe
Indian Ocean,,MSN-16,-11.9667,115.4333,-5010,,,2,63,,0.74,,,47,1,1965,VonHerzen&Langseth1965,VonHerzen&Langseth1965,,Bullard probe
Indian Ocean,,V29-33,-11.7667,79.55,-5379,0,6,3,130,,0.71,,,93,1,1977,Anderson_etal1977,Anderson_etal1977,,Ewing probe
Indian Ocean,,V20-143,-11.7333,120.1667,-4210,,,,56,,0.92,,,52,1,1967,Langseth&Taylor1967,Langseth&Taylor1967,*,Ewing probe
Indian Ocean,,V24-151,-11.7167,120.2,-4312,3,6,2,65,3,1.02,,,67,1,1977,Anderson_etal1977,Anderson_etal1977,,Bullard probe
Indian Ocean,,MSN-21,-11.65,109.5833,-4605,,,2,100,,0.78,,,78,1,1965,VonHerzen&Langseth1965,VonHerzen&Langseth1965,,Bullard probe
Indian Ocean,,CH43-14,-11.5,58.4,-4104,,,2,43,,0.84,,,36,1,1966,Birch&Halunen1966,Birch&Halunen1966,*,Ewing probe
Indian Ocean,,Dodo-36,-11.4833,65,-3980,,,,14,,0.85,,,12,1,1966,VonHerzen&Vacquier1966,VonHerzen&Vacquier1966,*,Bullard probe
Indian Ocean,,C14-4,-11.4667,75.15,-5273,,19,3,74,8,0.64,,,47,1,1977,Anderson_etal1977,Anderson_etal1977,,Ewing probe
Indian Ocean,,C14-11,-11.3,88.7833,-1575,,5,2,70,6,0.84,,,59,1,1977,Anderson_etal1977,Anderson_etal1977,,Ewing probe
Indian Ocean,,V24-152,-11.3,115.6667,-6949,2,8,3,41,4,0.84,,,34,1,1977,Anderson_etal1977,Anderson_etal1977,,Ewing probe
Indian Ocean,,ANT-122,-11.14,70.5033,-5157,,2,,,,0.84,,,,1,1977,Anderson_etal1977,Anderson_etal1977,,Bullard probe
Indian Ocean,,C14-10,-10.9167,88.3167,-2872,,9,3,59,8,1.03,,,61,1,1977,Anderson_etal1977,Anderson_etal1977,,Ewing probe
Indian Ocean,,Dodo-37,-10.8667,65.6333,-4065,,,,26,,0.8,,,21,1,1966,VonHerzen&Vacquier1966,VonHerzen&Vacquier1966,*,Bullard probe
Indian Ocean,,C11-74,-10.65,114.5167,-5397,1,5,2,40,3,0.99,,,40,1,1977,Anderson_etal1977,Anderson_etal1977,,Ewing probe
Indian Ocean,,C14-22,-10.6333,100.8667,-5280,,7,2,90,8,0.8,,,72,1,1977,Anderson_etal1977,Anderson_etal1977,,Ewing probe
Indian Ocean,,ANT-73,-10.595,94.9833,-5142,,2,,55,,0.75,,,42,1,1977,Anderson_etal1977,Anderson_etal1977,,Bullard probe
Indian Ocean,,LSDA-14,-10.5667,59.85,-2315,,,2,71,,0.85,,,60,1,1965,VonHerzen&Langseth1965,VonHerzen&Langseth1965,,Bullard probe
Indian Ocean,,C17-52,-10.5083,57.72,-4049,3,12,5,90,5,0.9,,,82,1,1977,Anderson_etal1977,Anderson_etal1977,,Ewing probe
Indian Ocean,,LSDH-15B,-10.5,59.3833,-2845,,,2,,,0.81,,,56,1,1965,VonHerzen&Langseth1965,VonHerzen&Langseth1965,,Bullard probe
Indian Ocean,,LSDH-15A,-10.5,59.3833,-2870,,,2,62,,0.81,,,51,1,1965,VonHerzen&Langseth1965,VonHerzen&Langseth1965,,Bullard probe
Indian Ocean,,V29-32,-10.4833,78.05,-5324,0,12,4,138,8,0.71,,,98,1,1977,Anderson_etal1977,Anderson_etal1977,,Ewing probe
Indian Ocean,,Dodo-38,-10.4667,66.1167,-3720,,,,141,,0.82,,,116,1,1966,VonHerzen&Vacquier1966,VonHerzen&Vacquier1966,*,Bullard probe
Indian Ocean,,V24-154,-10.4667,112.1333,-4060,1,10,4,47,4,0.78,,,36,1,1977,Anderson_etal1977,Anderson_etal1977,,Ewing probe
Indian Ocean,,V28-219,-10.45,100.5167,-5063,,7,,222,7,0.74,,,164,1,1977,Anderson_etal1977,Anderson_etal1977,,Ewing probe
Indian Ocean,,C12-161,-10.35,41.5667,-2376,,6,,29,,0.84,,,25,1,1977,Anderson_etal1977,Anderson_etal1977,,Ewing probe
Indian Ocean,,LSDA-13,-10.35,58.5167,-3575,,,2,46,,0.85,,,39,1,1965,VonHerzen&Langseth1965,VonHerzen&Langseth1965,,Bullard probe
Indian Ocean,,ANT-139,-10.305,58.95,-2805,,2,,56,,0.84,,,47,1,1977,Anderson_etal1977,Anderson_etal1977,,Bullard probe
Indian Ocean,,V29-36,-10.25,72.3833,-4026,4,12,4,74,8,0.81,,,60,1,1977,Anderson_etal1977,Anderson_etal1977,,Ewing probe
Indian Ocean,,V24-153,-10.25,113.9333,-3623,10,13,2,21,4,0.73,,,16,1,1977,Anderson_etal1977,Anderson_etal1977,,Ewing probe
Indian Ocean,,V19-68,-10.2167,81.6167,-5107,4,12,3,97,12,0.68,,,66,1,1965,VonHerzen&Langseth1965,VonHerzen&Langseth1965,,Ewing probe
Indian Ocean,,MSN-18,-10.1833,115.3167,-4330,,,2,24,,0.68,,,16,1,1965,VonHerzen&Langseth1965,VonHerzen&Langseth1965,,Bullard probe
Indian Ocean,,LSDH-14,-10.0833,57.8833,-3935,,,2,64,,0.85,,,54,1,1965,VonHerzen&Langseth1965,VonHerzen&Langseth1965,,Bullard probe
Indian Ocean,,V29-41,-10,63.65,-3636,,17,4,24,11,0.98,,,24,1,1977,Anderson_etal1977,Anderson_etal1977,,Ewing probe
Indian Ocean,,LSDA-12A,-9.95,57.1167,-4040,,,2,,,0.85,,,65,1,1965,VonHerzen&Langseth1965,VonHerzen&Langseth1965,,Bullard probe
Indian Ocean,,LSDA-12B,-9.9333,57.1167,-4050,,,2,,,0.85,,,65,1,1965,VonHerzen&Langseth1965,VonHerzen&Langseth1965,,Bullard probe
Indian Ocean,,Dodo-39,-9.9333,66.7333,-4295,,,,287,,0.81,,,231,1,1966,VonHerzen&Vacquier1966,VonHerzen&Vacquier1966,*,Bullard probe
Indian Ocean,,LSDH-13,-9.8167,56.4667,-3885,,,2,13,,0.85,,,11,1,1965,VonHerzen&Langseth1965,VonHerzen&Langseth1965,,Bullard probe
Indian Ocean,,V24-159,-9.6333,102.5667,-5495,3,12,4,78,5,0.73,,,57,1,1977,Anderson_etal1977,Anderson_etal1977,,Ewing probe
Indian Ocean,,Dodo-40,-9.5833,67.1333,-3570,,,,69,,0.83,,,57,1,1966,VonHerzen&Vacquier1966,VonHerzen&Vacquier1966,*,Bullard probe
Indian Ocean,,V19-98,-9.4667,43.3167,-3643,0,9,3,69,9,0.91,,,63,1,1965,VonHerzen&Langseth1965,VonHerzen&Langseth1965,,Ewing probe
Indian Ocean,,MSN-12,-9.2333,127.5,-3300,,,2,81,,0.88,,,71,1,1965,VonHerzen&Langseth1965,VonHerzen&Langseth1965,,Bullard probe
Indian Ocean,,Dodo-41,-9.2,67.65,-3750,,,,31,,0.85,,,27,1,1966,VonHerzen&Vacquier1966,VonHerzen&Vacquier1966,*,Bullard probe
Indian Ocean,,C14-5,-9.1833,76.75,-5372,,8,2,156,9,0.76,,,117,1,1977,Anderson_etal1977,Anderson_etal1977,,Ewing probe
Indian Ocean,,Dodo-51,-8.8667,66.3167,-3515,,,,5,,0.82,,,4,1,1966,VonHerzen&Vacquier1966,VonHerzen&Vacquier1966,*,Bullard probe
Indian Ocean,,MSN-23,-8.8167,109.6,-3300,,,2,26,,0.79,,,20,1,1965,VonHerzen&Langseth1965,VonHerzen&Langseth1965,,Bullard probe
Indian Ocean,,SO139-39HF,-8.78,106.5038,3367,,,,47,,1.08,,,64,1,1999,Delisle&Zeibig1999,Delisle&Zeibig1999,,ocean
Indian Ocean,,Dodo-42,-8.7667,68.2167,-3460,,,,48,,0.85,,,41,1,1966,VonHerzen&Vacquier1966,VonHerzen&Vacquier1966,*,Bullard probe
Indian Ocean,,SO139-38HF,-8.5667,106.6078,2246,,,,58,,1.03,,,60,1,1999,Delisle&Zeibig1999,Delisle&Zeibig1999,,ocean
Indian Ocean,,SO139-41HF,-8.4107,106.0941,3181,,,,51,,0.89,,,35,1,1999,Delisle&Zeibig1999,Delisle&Zeibig1999,,ocean
Indian Ocean,,Dodo-50,-8.4,66.9,-3340,,,,27,,0.82,,,22,1,1966,VonHerzen&Vacquier1966,VonHerzen&Vacquier1966,*,Bullard probe
Indian Ocean,,Dodo-43,-8.3,69.0167,-3980,,,,25,,0.88,,,22,1,1966,VonHerzen&Vacquier1966,VonHerzen&Vacquier1966,*,Bullard probe
Indian Ocean,,C12-163,-8.1667,44.9667,-4170,1,5,2,34,8,0.84,,,29,1,1977,Anderson_etal1977,Anderson_etal1977,,Ewing probe
Indian Ocean,,Dodo-49,-8.1167,67.3667,-3360,,,,83,,0.84,,,70,1,1966,VonHerzen&Vacquier1966,VonHerzen&Vacquier1966,*,Bullard probe
Indian Ocean,,V29-38,-8.0333,66.5833,-4035,4,13,4,6,10,0.88,,,5,1,1977,Anderson_etal1977,Anderson_etal1977,,Ewing probe
Indian Ocean,,SO139-25HF,-8.0268,106.2685,2998,,,,70,,1.22,,,98,1,1999,Delisle&Zeibig1999,Delisle&Ladage2002,,ocean
Indian Ocean,,SO139-26HF,-8.0049,106.2788,3039,,,,70,,0.95,,,58,1,1999,Delisle&Zeibig1999,Delisle&Zeibig1999,,ocean
Indian Ocean,,V28-220,-8,102.4167,-5557,2,5,2,252,,0.79,,,199,1,1977,Anderson_etal1977,Anderson_etal1977,,Ewing probe
Indian Ocean,,SO139-35HF,-7.9877,106.287,3021,,,5,50,,103,,,31,1,1999,Delisle&Zeibig1999,Delisle&Zeibig1999,,ocean
Indian Ocean,,SO139-85HF,-7.962,106.287,2966,,,,42,,0.96,,,55,1,1999,Delisle&Zeibig1999,Delisle&Zeibig1999,,ocean
Indian Ocean,,SO139-27HF,-7.9612,106.2997,3000,,,4,58,,107,,,95,1,1999,Delisle&Zeibig1999,Delisle&Zeibig1999,,ocean
Indian Ocean,,SO139-36HF,-7.96,106.2763,2950,,,,49,,0.99,,,35,1,1999,Delisle&Zeibig1999,Delisle&Zeibig1999,,ocean
Indian Ocean,,SO139-86HF,-7.9583,106.2965,2935,,,,220,,0.76,,,154,1,1999,Delisle&Zeibig1999,Delisle&Zeibig1999,,ocean
Indian Ocean,,Dodo-44,-7.9333,70.05,-3715,,,,110,,0.88,,,96,1,1966,VonHerzen&Vacquier1966,VonHerzen&Vacquier1966,*,Bullard probe
Indian Ocean,,V19-69,-7.9,81.4167,-5229,3,11,3,58,6,0.74,,,43,1,1965,VonHerzen&Langseth1965,VonHerzen&Langseth1965,,Ewing probe
Indian Ocean,,Dodo-48,-7.8833,67.7167,-3840,,,,30,,0.84,,,25,1,1966,VonHerzen&Vacquier1966,VonHerzen&Vacquier1966,*,Bullard probe
Indian Ocean,,MSN-15,-7.7667,121.2333,-4840,,,2,84,,0.85,,,71,1,1965,VonHerzen&Langseth1965,VonHerzen&Langseth1965,,Bullard probe
Indian Ocean,,V19-54,-7.7167,103.25,-6411,4,6,2,96,6,0.85,,,82,1,1965,VonHerzen&Langseth1965,VonHerzen&Langseth1965,,Ewing probe
Indian Ocean,,V29-31,-7.7,77.3833,-5074,5,12,4,79,6,0.73,,,58,1,1977,Anderson_etal1977,Anderson_etal1977,,Ewing probe
Indian Ocean,,Dodo-126,-7.6667,101.55,-5315,,,,50,,0.67,,,34,1,1966,Vacquier&Taylor1966,Vacquier&Taylor1966,*,Bullard probe
Indian Ocean,,SO139-64HF,-7.6643,102.6677,5945,,,,61,,0.99,,,64,1,1999,Delisle&Zeibig1999,Delisle&Zeibig1999,,ocean
Indian Ocean,,Dodo-127,-7.5167,102.2833,-5660,,,,123,,0.67,,,83,1,1966,Vacquier&Taylor1966,Vacquier&Taylor1966,*,Bullard probe
Indian Ocean,,V19-55,-7.2667,102.0333,-5663,4,12,3,91,8,0.79,,,72,1,1965,VonHerzen&Langseth1965,VonHerzen&Langseth1965,,Ewing probe
Indian Ocean,,C14-8,-7.1833,83.1833,-4671,0,4,2,56,,0.85,,,47,1,1977,Anderson_etal1977,Anderson_etal1977,,Ewing probe
Indian Ocean,,Dodo-47,-7.1167,68.95,-2810,,,,29,,0.9,,,26,1,1966,VonHerzen&Vacquier1966,VonHerzen&Vacquier1966,*,Bullard probe
Indian Ocean,,V19-70,-7.0667,80.7667,-5045,5,13,3,77,16,0.75,,,58,1,1965,VonHerzen&Langseth1965,VonHerzen&Langseth1965,,Ewing probe
Indian Ocean,,V19-97,-6.9833,41.1833,-3369,3,12,3,62,12,1,,,62,1,1965,VonHerzen&Langseth1965,VonHerzen&Langseth1965,,Ewing probe
Indian Ocean,,SO139-62HF,-6.958,103.4048,2950,,,,39,,0.95,,,49,1,1999,Delisle&Zeibig1999,Delisle&Zeibig1999,,ocean
Indian Ocean,,Dodo-125,-6.8833,101.25,-5460,,,,72,,0.67,,,49,1,1966,Vacquier&Taylor1966,Vacquier&Taylor1966,*,Bullard probe
Indian Ocean,,SO139-60HF,-6.8645,103.5013,2653,,,,70,,1.02,,,68,1,1999,Delisle&Zeibig1999,Delisle&Zeibig1999,,ocean
Indian Ocean,,Dodo-128,-6.8333,102.9667,-2760,,,,49,,0.7,,,35,1,1966,Vacquier&Taylor1966,Vacquier&Taylor1966,*,Bullard probe
Indian Ocean,,Dodo-46,-6.7833,69.3667,-3920,,,,33,,0.88,,,29,1,1966,VonHerzen&Vacquier1966,VonHerzen&Vacquier1966,*,Bullard probe
Indian Ocean,,C14-7,-6.7333,80.8167,-5152,2,6,2,106,7,0.92,,,94,1,1977,Anderson_etal1977,Anderson_etal1977,,Ewing probe
Indian Ocean,,V29-5,-6.7333,90.2667,-3907,1,4,2,34,5,1.08,,,37,1,1977,Anderson_etal1977,Anderson_etal1977,,Ewing probe
Indian Ocean,,Dodo-118,-6.6833,98.8333,-5640,,,,68,,0.76,,,52,1,1966,Vacquier&Taylor1966,Vacquier&Taylor1966,*,Bullard probe
Indian Ocean,,C14-6,-6.6333,79.4333,-5182,,11,3,83,8,0.73,,,61,1,1977,Anderson_etal1977,Anderson_etal1977,,Ewing probe
Indian Ocean,,SO139-53HF,-6.6172,103.7628,1120,,,,61,,0.78,,,47,1,1999,Delisle&Zeibig1999,Delisle&Zeibig1999,,ocean
Indian Ocean,,SO139-97HF,-6.5662,104.8998,1892,,,,111,,0.95,,,104,1,1999,Delisle&Zeibig1999,Delisle&Zeibig1999,,ocean
Indian Ocean,,SO139-52HF,-6.5442,103.8353,1691,,,,60,,0.75,,,49,1,1999,Delisle&Zeibig1999,Delisle&Zeibig1999,,ocean
Indian Ocean,,V29-39,-6.5167,64.5167,-4209,1,9,4,109,6,0.85,,,93,1,1977,Anderson_etal1977,Anderson_etal1977,,Ewing probe
Indian Ocean,,SO139-51HF,-6.4748,103.9068,1910,,,,55,,0.68,,,45,1,1999,Delisle&Zeibig1999,Delisle&Zeibig1999,,ocean
Indian Ocean,,SO139-47HF,-6.4261,103.9567,1980,,,,39,,0.81,,,22,1,1999,Delisle&Zeibig1999,Delisle&Zeibig1999,,ocean
Indian Ocean,,SO139-46HF,-6.4016,103.982,2007,,,,30,,0.88,,,32,1,1999,Delisle&Zeibig1999,Delisle&Zeibig1999,,ocean
Indian Ocean,,SO139-99HF,-6.3927,104.9662,1398,,,,92,,0.98,,,83,1,1999,Delisle&Zeibig1999,Delisle&Zeibig1999,,ocean
Indian Ocean,,Dodo-52,-6.3667,65.7,-4005,,,,92,,0.84,,,77,1,1966,VonHerzen&Vacquier1966,VonHerzen&Vacquier1966,*,Bullard probe
Indian Ocean,,Dodo-45,-6.3667,69.9,-3505,,,,94,,0.88,,,82,1,1966,VonHerzen&Vacquier1966,VonHerzen&Vacquier1966,*,Bullard probe
Indian Ocean,,Dodo-120,-6.3667,99.25,-4974,,,,39,,0.76,,,29,1,1966,Vacquier&Taylor1966,Vacquier&Taylor1966,*,Ewing probe
Indian Ocean,,SO139-78HF,-6.3328,104.0502,2171,,,,29,,0.93,,,27,1,1999,Delisle&Zeibig1999,Delisle&Zeibig1999,,ocean
Indian Ocean,,SO139-77HF,-6.2905,104.0963,2187,,,,40,,1.12,,,45,1,1999,Delisle&Zeibig1999,Delisle&Zeibig1999,,ocean
Indian Ocean,,V29-27,-6.2833,73.7,-5386,0,4,2,83,,0.88,,,73,1,1977,Anderson_etal1977,Anderson_etal1977,,Ewing probe
Indian Ocean,,V29-40,-6.2667,63.4333,-3876,3,12,4,54,6,0.99,,,54,1,1977,Anderson_etal1977,Anderson_etal1977,,Ewing probe
Indian Ocean,,SO139-76HF,-6.2172,104.1584,2201,,,,35,,0.95,,,46,1,1999,Delisle&Zeibig1999,Delisle&Zeibig1999,,ocean
Indian Ocean,,Dodo-129,-6.1833,103.6,-2250,,,,34,,0.7,,,24,1,1966,Vacquier&Taylor1966,Vacquier&Taylor1966,*,Bullard probe
Indian Ocean,,Dodo-124,-6.1333,101.0833,-5660,,,,46,,0.67,,,31,1,1966,Vacquier&Taylor1966,Vacquier&Taylor1966,*,Bullard probe
Indian Ocean,,Dodo-117,-6.1167,98.8333,-5500,,,,53,,0.8,,,43,1,1966,Vacquier&Taylor1966,Vacquier&Taylor1966,*,Bullard probe
Indian Ocean,,Dodo-121,-6.1,99.6667,-4755,,,,91,,0.76,,,69,1,1966,Vacquier&Taylor1966,Vacquier&Taylor1966,*,Bullard probe
Indian Ocean,,V29-37,-6,69.8167,-2859,2,11,4,81,6,0.93,,,75,1,1977,Anderson_etal1977,Anderson_etal1977,,Ewing probe
Indian Ocean,,Dodo-54,-5.9,66.8833,-4360,,,,101,,0.85,,,85,1,1966,VonHerzen&Vacquier1966,VonHerzen&Vacquier1966,*,Bullard probe
Indian Ocean,,LSDH-6,-5.8833,65.95,-4260,,,2,61,,0.8,,,49,1,1965,VonHerzen&Langseth1965,VonHerzen&Langseth1965,,Bullard probe
Indian Ocean,,LSDA-8,-5.8667,66.6,-4370,,,2,16,,0.8,,,13,1,1965,VonHerzen&Langseth1965,VonHerzen&Langseth1965,,Bullard probe
Indian Ocean,,Dodo-53,-5.85,66.9667,-4090,,,,92,,0.85,,,77,1,1966,VonHerzen&Vacquier1966,VonHerzen&Vacquier1966,*,Bullard probe
Indian Ocean,,C14-16,-5.85,90.5167,-2952,,7,2,66,7,1,,,66,1,1977,Anderson_etal1977,Anderson_etal1977,,Ewing probe
Indian Ocean,,Dodo-122,-5.7167,100.1833,-5180,,,,107,,0.76,,,81,1,1966,Vacquier&Taylor1966,Vacquier&Taylor1966,*,Bullard probe
Indian Ocean,,LSDH-5,-5.6667,69.6667,-3815,,,2,0,,0.84,,,0,1,1965,VonHerzen&Langseth1965,VonHerzen&Langseth1965,,Bullard probe
Indian Ocean,,LSDA-7,-5.6667,70.2833,-3935,,,2,30,,0.79,,,24,1,1965,VonHerzen&Langseth1965,VonHerzen&Langseth1965,,Bullard probe
Indian Ocean,,Dodo-116,-5.65,99.0333,-5572,,,,49,,0.8,,,39,1,1966,Vacquier&Taylor1966,Vacquier&Taylor1966,*,Bullard probe
Indian Ocean,,Dodo-55,-5.6167,67.5,-3430,,,,29,,0.92,,,26,1,1966,VonHerzen&Vacquier1966,VonHerzen&Vacquier1966,*,Bullard probe
Indian Ocean,,LSDA-9,-5.5667,63.7,-4210,,,2,87,,0.8,,,70,1,1965,VonHerzen&Langseth1965,VonHerzen&Langseth1965,,Bullard probe
Indian Ocean,,Dodo-123,-5.55,100.9,-6040,,,,36,,0.76,,,28,1,1966,Vacquier&Taylor1966,Vacquier&Taylor1966,*,Bullard probe
Indian Ocean,,LSDH-7,-5.5167,63.0667,-4255,,,2,116,,0.81,,,95,1,1965,VonHerzen&Langseth1965,VonHerzen&Langseth1965,,Bullard probe
Indian Ocean,,LSDA-11,-5.5,57.9333,-2525,,,2,61,,0.85,,,52,1,1965,VonHerzen&Langseth1965,VonHerzen&Langseth1965,,Bullard probe
Indian Ocean,,LSDH-8,-5.4667,60.0333,-4100,,,2,78,,0.83,,,65,1,1965,VonHerzen&Langseth1965,VonHerzen&Langseth1965,,Bullard probe
Indian Ocean,,Dodo-101,-5.45,96.9167,-4676,,,,55,,0.77,,,42,1,1966,Vacquier&Taylor1966,Vacquier&Taylor1966,,Bullard probe
Indian Ocean,,LSDA-10A,-5.4333,59.2333,-3980,,,1,192,,0.83,,,159,1,1965,VonHerzen&Langseth1965,VonHerzen&Langseth1965,,Bullard probe
Indian Ocean,,LSDH-9A,-5.4333,59.4833,-3945,,,1,,,0.85,,,193,1,1965,VonHerzen&Langseth1965,VonHerzen&Langseth1965,,Bullard probe
Indian Ocean,,LSDH-9B,-5.4333,59.4833,-3960,,,1,,,0.85,,,138,1,1965,VonHerzen&Langseth1965,VonHerzen&Langseth1965,,Bullard probe
Indian Ocean,,LSDA-10B,-5.4167,59.2167,-3980,,,2,,,0.83,,,68,1,1965,VonHerzen&Langseth1965,VonHerzen&Langseth1965,,Bullard probe
Indian Ocean,,CIR-57,-5.4,90.2167,-4668,,2,,80,,0.73,,,59,1,1977,Anderson_etal1977,Anderson_etal1977,,Bullard probe
Indian Ocean,,LSDA-6,-5.3833,72.7833,-2530,,,2,84,,0.96,,,80,1,1965,VonHerzen&Langseth1965,VonHerzen&Langseth1965,,Bullard probe
Indian Ocean,,V29-28,-5.3833,76.65,-5255,2,10,4,53,9,0.84,,,44,1,1977,Anderson_etal1977,Anderson_etal1977,,Ewing probe
Indian Ocean,,LSDH-4,-5.3667,74.2833,-4780,,,2,115,,0.69,,,79,1,1965,VonHerzen&Langseth1965,VonHerzen&Langseth1965,,Bullard probe
Indian Ocean,,V29-26,-5.35,74.4,-4759,4,12,4,84,,0.88,,,74,1,1977,Anderson_etal1977,Anderson_etal1977,,Ewing probe
Indian Ocean,,LSDA-5,-5.35,75.1333,-5220,,,2,92,,0.69,,,63,1,1965,VonHerzen&Langseth1965,VonHerzen&Langseth1965,,Bullard probe
