159.355 -56.5 4.486 29.900 0.209 1
159.79 -56.5 4.436 31.435 0.215 1
-29.895 -57.483 3.163 0.412 0.201 1
-29 -57.444 3.735 2.452 0.209 1
-28.155 -57.407 3.817 4.341 0.211 1
-22.945 -57.173 5.210 47.319 0.209 1
-22 -57.13 5.002 50.515 0.208 1
-32.59 -57.6 3.605 5.964 0.208 1
-32 -57.574 3.874 4.503 0.204 1
-31 -57.531 3.572 2.186 0.202 1
-30.4 -57.505 3.208 0.743 0.201 1
-31.975 -59.093 3.111 4.439 0.201 1
-31 -59.197 3.208 2.594 0.201 1
-30 -59.303 2.922 0.777 0.201 1
-29.275 -59.38 2.554 1.490 0.201 1
-61.395 -60.466 3.955 15.665 0.204 1
-22.92 -60.049 3.938 18.061 0.202 1
-22.305 -60.114 3.805 13.669 0.201 1
-2.055 -60.026 5.769 60.100 0.211 1
97.236 -60.404 5.680 44.943 0.237 1
-61.115 -60.692 3.948 17.617 0.205 1
46.87 -61.225 5.947 107.806 0.221 1
97.266 -61 5.768 52.984 0.246 1
107.335 -61.282 5.083 40.341 0.219 1
112.231 -61.208 5.386 42.084 0.235 1
126.017 -61.278 5.832 45.132 0.245 1
157.255 -61.172 2.786 4.941 0.201 1
157.61 -61.421 2.783 3.760 0.201 1
168.235 -61.069 4.702 53.281 0.206 1
169 -61.299 4.280 51.996 0.201 1
169.58 -61.473 4.450 51.227 0.203 1
25.12 -62.463 6.153 117.255 0.228 1
46.833 -62.007 5.865 109.406 0.241 1
53.345 -62.32 6.198 118.553 0.234 1
53.629 -62.106 6.199 117.712 0.233 1
55 -62.253 5.987 118.165 0.229 1
107.19 -61.799 5.216 46.432 0.227 1
112.264 -61.515 5.702 46.159 0.248 1
126.073 -62.001 6.037 58.514 0.262 1
131.48 -62.02 5.968 56.228 0.253 1
158.115 -61.776 2.562 2.161 0.201 1
158.825 -62.274 2.351 0.167 0.201 1
170.144 -61.643 4.212 51.262 0.202 1
170.973 -61.873 4.074 49.892 0.203 1
172 -62.151 4.662 47.724 0.203 1
172.565 -62.304 4.354 44.194 0.201 1
24.33 -63.313 6.285 120.374 0.235 1
24.795 -62.812 6.111 118.557 0.227 1
34.212 -63.108 6.329 119.879 0.24 1
41.775 -63.337 5.992 120.570 0.229 1
46.788 -62.935 5.858 115.956 0.267 1
52.44 -63.42 6.291 121.062 0.256 1
52.96 -63.081 6.313 120.951 0.25 1
53.995 -62.742 6.256 120.262 0.24 1
57.045 -63.075 5.918 123.221 0.235 1
126.115 -62.549 5.997 76.355 0.266 1
131.505 -62.72 6.074 80.409 0.266 1
147.332 -63.092 4.502 36.465 0.214 1
159.32 -62.622 2.550 1.676 0.201 1
159.995 -63.095 2.682 3.743 0.201 1
163.145 -63.467 3.000 7.652 0.201 1
164 -63.387 2.919 8.137 0.201 1
164.54 -63.336 2.925 9.806 0.201 1
166.435 -63.033 2.768 23.576 0.201 1
166.75 -63.295 2.528 21.911 0.201 1
23.36 -64.356 6.047 126.020 0.23 1
23.825 -63.856 6.175 123.342 0.233 1
27.259 -64.133 6.688 121.285 0.259 1
28.416 -64.008 6.693 120.121 0.256 1
34.306 -63.84 6.305 120.525 0.243 1
39.105 -64.464 6.223 120.121 0.245 1
40.081 -64.382 6.111 120.389 0.244 1
41 -64.099 5.995 122.679 0.241 1
41.973 -64.156 5.832 123.586 0.239 1
42.86 -64.114 5.767 124.979 0.232 1
52.28 -63.615 6.326 121.984 0.263 1
56.48 -64.017 5.945 131.284 0.247 1
56.65 -63.733 5.983 128.532 0.242 1
162.005 -63.574 2.958 6.953 0.201 1
162.65 -63.513 3.125 7.375 0.201 1
167.245 -63.708 2.986 19.512 0.201 1
