109.705 6.032 0.223 -56.730 8.287
16.578 3.911 0.005 -91.340 7.210
68.118 5.067 0.020 -43.630 5.839
66.682 5.037 0.021 -43.425 5.588
154.385 5.170 0.006 164.320 6.156
153.901 5.340 0.008 165.000 6.218
153.173 5.253 0.005 166.000 6.309
152.413 5.276 0.007 167.000 6.399
152.437 5.225 0.007 167.500 6.445
64.298 5.025 0.021 -43.155 5.257
1.455 2.551 0.001 -83.790 3.535
79.938 5.520 0.046 -44.350 4.237
135.975 6.440 0.037 51.245 3.858
119.966 6.389 0.036 51.825 4.018
0.553 3.098 0.001 -83.772 2.997
71.139 5.229 0.025 -42.435 3.335
0.355 2.159 0.004 -92.665 2.205
104.975 5.103 0.089 6.930 0.942
108.012 5.039 0.094 7.425 0.421
108.716 5.010 0.092 7.515 0.327
73.334 5.250 0.023 -37.165 -1.143
136.380 6.279 0.064 45.175 -3.584
131.150 6.167 0.060 45.000 -4.684
129.422 5.921 0.044 45.665 -4.670
0.168 5.487 0.015 128.130 -6.196
3.334 5.555 0.015 128.210 -6.549
53.724 4.596 0.001 -144.093 -13.132
77.140 4.298 0.003 -150.690 -18.390
75.174 3.913 0.007 -150.390 -17.795
74.888 5.812 0.008 3.210 -17.904
76.110 5.741 0.006 3.550 -17.988
77.719 4.341 0.003 -150.780 -18.570
99.252 5.946 0.019 7.165 -18.904
103.456 5.841 0.020 8.001 -19.083
105.643 5.793 0.022 8.550 -19.190
79.627 4.446 0.001 -150.955 -19.720
133.213 4.797 0.065 42.035 -22.494
132.732 4.805 0.065 41.880 -22.618
138.478 4.977 0.051 43.088 -24.254
139.758 5.017 0.042 43.335 -24.649
12.057 4.005 0.002 -11.745 -25.965
38.662 4.805 0.003 -4.200 -25.970
42.450 4.879 0.002 -3.345 -25.845
57.236 4.746 0.009 -31.210 -36.485
87.000 5.973 0.013 127.367 -36.013
83.200 6.223 0.021 132.294 -36.377
53.584 4.722 0.008 -30.815 -36.553
49.261 4.646 0.010 -30.000 -36.694
45.722 4.693 0.007 -29.140 -36.858
58.391 5.859 0.009 127.215 -37.000
61.240 5.947 0.011 128.056 -36.931
68.519 6.266 0.019 130.903 -36.877
70.549 6.329 0.022 131.984 -36.889
66.415 6.360 0.023 132.729 -37.111
43.546 5.613 0.002 127.054 -37.749
44.438 6.236 0.018 131.481 -37.923
47.932 6.260 0.019 131.541 -37.673
47.767 5.893 0.009 133.015 -37.758
23.038 4.943 0.001 127.350 -42.499
23.912 5.054 0.001 127.806 -42.060
26.257 4.957 0.001 134.819 -42.193
40.513 5.256 0.009 142.185 -42.017
40.906 5.395 0.015 142.668 -42.061
23.053 4.953 0.001 127.190 -42.501
23.948 4.872 0.001 135.052 -43.000
